Feature,Importance
Appendix_Diameter,0.21359223300970884
Ipsilateral_Rebound_Tenderness_Missing,0.16782246879334267
Appendix_on_US,0.15395284327323167
Appendix_Diameter_Missing,0.10957004160887658
US_Number,0.06934812760055481
WBC_Count,0.03328710124826626
Coughing_Pain,0.03190013869625517
Nausea,0.029126213592232983
Contralateral_Rebound_Tenderness,0.02635228848821081
Coprostasis,0.022191400832177507
Neutrophilia,0.01941747572815532
Migratory_Pain,0.01664355062413313
Ipsilateral_Rebound_Tenderness,0.015256588072122037
Appendix_Wall_Layers,0.012482662968099849
Ileus,0.00970873786407766
Target_Sign_Missing,0.00970873786407766
CRP,0.008321775312066565
Lymph_Nodes_Location,0.006934812760055471
Loss_of_Appetite,0.006934812760055471
Appendicular_Abscess,0.005547850208044377
Perforation,0.005547850208044377
Segmented_Neutrophils,0.005547850208044377
Bowel_Wall_Thickening,0.005547850208044377
Lymph_Nodes_Location_Missing,0.004160887656033283
US_Performed,0.004160887656033283
Coprostasis_Missing,0.0027739251040221884
Conglomerate_of_Bowel_Loops,0.0013869625520110942
Abscess_Location_Missing,0.0013869625520110942
Appendicular_Abscess_Missing,0.0013869625520110942
Lower_Right_Abd_Pain,0.0
Dysuria,0.0
Age,0.0
Stool,0.0
Peritonitis,0.0
Psoas_Sign,0.0
Free_Fluids,0.0
Appendicolith,0.0
Perfusion,0.0
Surrounding_Tissue_Reaction,0.0
Abscess_Location,0.0
Pathological_Lymph_Nodes,0.0
Meteorism,0.0
Target_Sign,0.0
Bowel_Wall_Thickening_Missing,0.0
Sex,0.0
Neutrophilia_Missing,0.0
Height,0.0
Weight,0.0
Body_Temperature,0.0
Neutrophil_Percentage,0.0
RBC_Count,0.0
Hemoglobin,0.0
RDW,0.0
Thrombocyte_Count,0.0
Ketones_in_Urine,0.0
RBC_in_Urine,0.0
WBC_in_Urine,0.0
Neutrophil_Percentage_Missing,0.0
Segmented_Neutrophils_Missing,0.0
Ketones_in_Urine_Missing,0.0
Enteritis_Missing,0.0
RBC_in_Urine_Missing,0.0
WBC_in_Urine_Missing,0.0
Free_Fluids_Missing,0.0
Appendix_Wall_Layers_Missing,0.0
Appendicolith_Missing,0.0
Perfusion_Missing,0.0
Perforation_Missing,0.0
Surrounding_Tissue_Reaction_Missing,0.0
Pathological_Lymph_Nodes_Missing,0.0
BMI,0.0
Conglomerate_of_Bowel_Loops_Missing,0.0
Ileus_Missing,0.0
Meteorism_Missing,0.0
Enteritis,0.0
